work_code,l1,l2,l3,task_type,classification_basis,dept,owner,applied_keywords,classification_note,guidelines,related_laws
WORK-CA-111,원가(C),제조,제작,산정,"제작설치(제조로 일괄 적용), 구매, LCC",원가분석본부,하은정 이사,"물품제조, 제작, 시제품제작, 시스템구축, 장비제작, 가공조립, 현장설치, 제조, 제작, 가공, 조립, 생산, 완성, 규격, 시방서, 물품, 납품, 설치","[예정가격작성기준 제2장] 재료를 매입하여 제조공장(작업장)에서 가공·조립하여 새로운 생산품을 완성하고, 필요시 현장에 설치하는 과업.","정부입찰계약집행기준, 예정가격작성기준(계약예규)",국가를 당사자로 하는 계약에 관한 법률(국계법) 지방자치단체를 당사자로 하는 계약에 관한 법률(지계법)
WORK-CA-112,원가(C),제조,제작,검증,"제작설치(제조로 일괄 적용), 구매, LCC",원가분석본부,하은정 이사,"물품제조, 제작, 시제품제작, 시스템구축, 장비제작, 가공조립, 현장설치, 제조, 제작, 가공, 조립, 생산, 완성, 규격, 시방서, 물품, 납품, 설치","[예정가격작성기준 제2장] 재료를 매입하여 제조공장(작업장)에서 가공·조립하여 새로운 생산품을 완성하고, 필요시 현장에 설치하는 과업.","정부입찰계약집행기준, 예정가격작성기준(계약예규)",국가를 당사자로 하는 계약에 관한 법률(국계법) 지방자치단체를 당사자로 하는 계약에 관한 법률(지계법)
WORK-CA-121,원가(C),제조,구매,산정,,원가분석본부,하은정 이사,"물품구매, 기자재구매, 관급자재, 자재구입, 도서구매, 비품구입, 품목 장비구매, 완성품, 납품, 구매, 구입, 도입, 물품, 자재, 장비, H/W, 관급, 판금",[국가계약법 시행규칙 제6조]별도의 가공 없이 완성된 형태의 물품을 단순히 구매하여 납품받는 계약.,,
WORK-CA-122,원가(C),제조,구매,검증,,원가분석본부,하은정 이사,"물품구매, 기자재구매, 관급자재, 자재구입, 도서구매, 비품구입, 품목 장비구매, 완성품, 납품, 구매, 구입, 도입, 물품, 자재, 장비, H/W, 관급, 판금",[국가계약법 시행규칙 제6조]별도의 가공 없이 완성된 형태의 물품을 단순히 구매하여 납품받는 계약.,,
WORK-CA-131,원가(C),제조,경제성효과(LCC),산정,,원가분석본부,하은정 이사,"LCC, 생애주기비용, 경제성효과, 수명주기, 내구연한분석 교체주기, 효과분석, 생애주기, 내구연한, 절감효과",[건설기술진흥법 시행령 제75조]설계의 경제성 등 검토(VE)의 일환으로 생애주기 동안 발생하는 총 비용을 분석.,,
WORK-CA-132,원가(C),제조,경제성효과(LCC),검증,,원가분석본부,하은정 이사,"LCC, 생애주기비용, 경제성효과, 수명주기, 내구연한분석 교체주기, 효과분석, 생애주기, 내구연한, 절감효과",[건설기술진흥법 시행령 제75조]설계의 경제성 등 검토(VE)의 일환으로 생애주기 동안 발생하는 총 비용을 분석.,,
WORK-CA-141,원가(C),제조,납품대금연동,산정,,원가분석본부,하은정 이사,"납품대금연동, 연동제, 약정서, 원재료비, 조정, 상생협력, 동행기업, 가격변동반영",[대·중소기업 상생협력 촉진에 관한 법률 제21조] 주요 원재료 가격 등락에 따라 납품 대금을 조정(연동)하기 위해 약정서를 작성하거나 관련 원가 변동분을 검토하는 과업.,,
WORK-CA-142,원가(C),제조,납품대금연동,검증,,원가분석본부,하은정 이사,"납품대금연동, 연동제, 약정서, 원재료비, 조정, 상생협력, 동행기업, 가격변동반영",[대·중소기업 상생협력 촉진에 관한 법률 제21조] 주요 원재료 가격 등락에 따라 납품 대금을 조정(연동)하기 위해 약정서를 작성하거나 관련 원가 변동분을 검토하는 과업.,,
WORK-CB-211,원가(C),공사,공사원가,산정,공사 원가산정용역 등,건설사업본부,최재운 본부장,"토목, 전기, 조경, 소방, 인테리어, 철거, 포장, 보수, 증축, 통신, 개보수, 배관, 가설, 공사, 시공, 건립, 정비, 복구, 설치공사","[예정가격작성기준 제3장] 건설산업기본법, 전기공사업법, 정보통신공사업법 등 관련 법령에 의하여 면허·허가·등록을 필한 사업자가 시공하는 건설 공사 과업.","품질관리, 안전관리, 산업재해예방",정부(지자체) 계약집행 기준
WORK-CB-212,원가(C),공사,공사원가,검증,공사 원가산정용역 등,건설사업본부,최재운 본부장,"토목, 전기, 조경, 소방, 인테리어, 철거, 포장, 보수, 증축, 통신, 개보수, 배관, 가설, 공사, 시공, 건립, 정비, 복구, 설치공사","[예정가격작성기준 제3장] 건설산업기본법, 전기공사업법, 정보통신공사업법 등 관련 법령에 의하여 면허·허가·등록을 필한 사업자가 시공하는 건설 공사 과업.","품질관리, 안전관리, 산업재해예방",정부(지자체) 계약집행 기준
