cert_code,cert_name,holder_count,WORK-CA-111 · 제조 · 제작 · 산정,WORK-CA-112 · 제조 · 제작 · 검증,WORK-CA-121 · 제조 · 구매 · 산정,WORK-CA-122 · 제조 · 구매 · 검증,WORK-CA-131 · 제조 · 경제성효과(LCC) · 산정,WORK-CA-132 · 제조 · 경제성효과(LCC) · 검증,WORK-CA-141 · 제조 · 납품대금연동 · 산정,WORK-CA-142 · 제조 · 납품대금연동 · 검증,WORK-CB-211 · 공사 · 공사원가 · 산정,WORK-CB-212 · 공사 · 공사원가 · 검증,WORK-CB-221 · 공사 · 물가변동 · 산정,WORK-CB-222 · 공사 · 물가변동 · 검증,WORK-CB-231 · 공사 · 개발비용 · 산정,WORK-CB-232 · 공사 · 개발비용 · 검증,WORK-CB-241 · 공사 · 설계변경 · 산정,WORK-CB-242 · 공사 · 설계변경 · 검증,WORK-CB-251 · 공사 · 기부채납 · 산정,WORK-CB-252 · 공사 · 기부채납 · 검증,WORK-CB-291 · 공사 · 기타 · 산정,WORK-CB-292 · 공사 · 기타 · 검증,WORK-CC-311 · 학술용역 · 연구 · 산정,WORK-CC-312 · 학술용역 · 연구 · 검증,"WORK-CC-321 · 학술용역 · 행사,운영(대행) · 산정","WORK-CC-322 · 학술용역 · 행사,운영(대행) · 검증",WORK-CC-331 · 일반용역 · 시설 · 산정,WORK-CC-332 · 일반용역 · 시설 · 검증,WORK-CC-341 · 일반용역 · SW · 산정,WORK-CC-342 · 일반용역 · SW · 검증,WORK-CC-351 · 일반용역 · 폐기물처리 · 산정,WORK-CC-352 · 일반용역 · 폐기물처리 · 검증,WORK-CC-361 · 일반용역 · 육상운송 · 산정,WORK-CC-362 · 일반용역 · 육상운송 · 검증,WORK-CC-371 · 일반용역 · 컨텐츠제작 · 산정,WORK-CC-372 · 일반용역 · 컨텐츠제작 · 검증,WORK-CC-391 · 일반용역 · 기타 · 산정,WORK-CC-392 · 일반용역 · 기타 · 검증,WORK-CD-411 · 기술용역 · 설계 감리비 · 산정,WORK-CD-412 · 기술용역 · 설계 감리비 · 검증,WORK-CD-421 · 기술용역 · 엔지니어링 · 산정,WORK-CD-422 · 기술용역 · 엔지니어링 · 검증,WORK-CD-431 · 기술용역 · 타당성 · 산정,WORK-CD-432 · 기술용역 · 타당성 · 검증,WORK-CE-501 · 사후정산 · 산정,WORK-CE-502 · 사후정산 · 검증,WORK-CF-601 · 각종 수수료 · 산정,WORK-CF-602 · 각종 수수료 · 검증,"WORK-CG-711 · 클레임 · 법원, 중재원 감정 · 산정","WORK-CG-712 · 클레임 · 법원, 중재원 감정 · 검증",WORK-CG-721 · 클레임 · 사감정 · 산정,WORK-CG-722 · 클레임 · 사감정 · 검증,WORK-CG-731 · 클레임 · 기타 · 산정,WORK-CG-732 · 클레임 · 기타 · 검증,WORK-CH-801 · 비교견적 · 산정,WORK-CH-802 · 비교견적 · 검증,WORK-CI-901 · 기타 · 산정,WORK-CI-902 · 기타 · 검증,WORK-PA-101 · 타당성 · 산정,WORK-PA-102 · 타당성 · 검증,WORK-PB-201 · 컨설팅 · 산정,WORK-PB-202 · 컨설팅 · 검증,WORK-PC-301 · 만족도 · 산정,WORK-PC-302 · 만족도 · 검증,WORK-PD-901 · 기타 · 산정,WORK-PD-902 · 기타 · 검증
CERT-BIZ-0005,공인원가분석사,12,5,5,,,,,,,5,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,5,,,,,5,5,5,5,5,5,,,,,5,5,,,,,,,,,,
CERT-BIZ-0003,경영지도사,8,4,5,,,,,,,5,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,5,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,
CERT-LAW-0003,갈등조정전문가 1급,5,5,5,,,,,,,5,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,5,,,,,,,,,5,5,,,,,,,,,,,,,,,,
CERT-BIZ-0007,가맹거래사,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-BIZ-0012,기술거래사,3,2,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-BIZ-0020,물류관리사,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,
CERT-CON-0001,건축시공기술사,3,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,
CERT-CON-0003,건축기사,3,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERT-EDU-0004,컴퓨터활용능력 2급,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-SAF-0009,산업안전기사,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,
CERT-AGR-0004,수목치료기술자,2,1,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-AGR-0006,식물보호산업기사,2,1,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-BIZ-0001,공인회계사,2,5,5,,,,,,,5,5,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,5,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,
CERT-BIZ-0004,PMP(Project Management Institute),2,2,5,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,
CERT-BIZ-0028,ERP 인사 정보관리사 2급,2,1,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,
CERT-BIZ-0029,ERP 회계 정보관리사 2급,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,
CERT-BIZ-0031,FAT 2급,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
